epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,564.756,1.32415,0.49957,0.9974,1.19077,0.0701042,0.00332176,0.00332176
2,670.309,1.31005,0.44502,0.97143,1.39231,0.0400383,0.00658921,0.00658921
3,774.21,1.27061,0.46494,0.99307,1.49002,0.0099064,0.00979066,0.00979066
4,878.416,1.28175,0.46234,0.98701,1.15919,0.009703,0.009703,0.009703
5,980.656,1.24033,0.46926,0.98961,1.37963,0.009604,0.009604,0.009604
6,1081.98,1.18725,0.51602,0.99481,1.10014,0.009505,0.009505,0.009505
7,1181.31,1.16227,0.529,0.9974,1.10776,0.009406,0.009406,0.009406
8,1281.28,1.15002,0.53074,0.99913,1.04036,0.009307,0.009307,0.009307
9,1381.02,1.12595,0.61991,0.9974,0.93937,0.009208,0.009208,0.009208
10,1480.41,1.13307,0.55758,0.99827,1.10117,0.009109,0.009109,0.009109
