epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,82.9333,1.26421,0.71342,0.99481,0.73223,0.000324074,0.000324074,0.000324074
2,157.616,0.63384,0.8026,1,0.49624,0.000650899,0.000650899,0.000650899
3,234.298,0.49865,0.78442,1,0.53677,0.000971124,0.000971124,0.000971124
4,309.701,0.467,0.75931,1,0.66904,0.0009703,0.0009703,0.0009703
5,385.937,0.38185,0.86147,1,0.41084,0.0009604,0.0009604,0.0009604
6,462.305,0.3445,0.85455,1,0.39424,0.0009505,0.0009505,0.0009505
